Epoch 85, Loss: 0.337810754776001, time: 0.340972900390625
Epoch 86, Loss: 0.33184993267059326, time: 0.3136613368988037
Epoch 87, Loss: 0.32602792978286743, time: 0.3336906433105469
Epoch 88, Loss: 0.320355087518692, time: 0.358065128326416
Epoch 89, Loss: 0.31484121084213257, time: 0.28638243675231934
Epoch 90, Loss: 0.3094956874847412, time: 0.3321201801300049
Epoch 91, Loss: 0.3043273985385895, time: 0.29743003845214844
Epoch 92, Loss: 0.299344539642334, time: 0.33561110496520996
Epoch 93, Loss: 0.29455456137657166, time: 0.36862778663635254
Epoch 94, Loss: 0.28996407985687256, time: 0.3043026924133301
Epoch 95, Loss: 0.2855786085128784, time: 0.35959434509277344
Epoch 96, Loss: 0.281402587890625, time: 0.3578605651855469
