Epoch 85, Data Loss: 0.8902148604393005, Physics Loss: 9.89610481262207, Total Loss: 1.8798253536224365, time: 4.86 seconds
Epoch 86, Data Loss: 0.88933926820755, Physics Loss: 9.885642051696777, Total Loss: 1.8779034614562988, time: 4.85 seconds
Epoch 87, Data Loss: 0.8887667059898376, Physics Loss: 9.870447158813477, Total Loss: 1.8758114576339722, time: 4.86 seconds
Epoch 88, Data Loss: 0.8888028860092163, Physics Loss: 9.85260009765625, Total Loss: 1.8740628957748413, time: 4.80 seconds
Epoch 89, Data Loss: 0.8895246982574463, Physics Loss: 9.834267616271973, Total Loss: 1.8729515075683594, time: 4.90 seconds
Epoch 90, Data Loss: 0.8907160758972168, Physics Loss: 9.817459106445312, Total Loss: 1.8724620342254639, time: 4.85 seconds
Epoch 91, Data Loss: 0.8919586539268494, Physics Loss: 9.803815841674805, Total Loss: 1.872340202331543, time: 4.94 seconds
Epoch 92, Data Loss: 0.8927950859069824, Physics Loss: 9.794495582580566, Total Loss: 1.8722445964813232, time: 4.89 seconds
Epoch 93, Data Loss: 0.8928718566894531, Physics Loss: 9.790087699890137, Total Loss: 1.8718806505203247, time: 4.88 seconds
Epoch 94, Data Loss: 0.8920543193817139, Physics Loss: 9.790614128112793, Total Loss: 1.8711156845092773, time: 4.93 seconds
Epoch 95, Data Loss: 0.8904412388801575, Physics Loss: 9.795583724975586, Total Loss: 1.869999647140503, time: 4.81 seconds
Epoch 96, Data Loss: 0.8883079290390015, Physics Loss: 9.804075241088867, Total Loss: 1.868715524673462, time: 4.95 seconds
Epoch 97, Data Loss: 0.8859974145889282, Physics Loss: 9.814862251281738, Total Loss: 1.8674836158752441, time: 4.77 seconds
Epoch 98, Data Loss: 0.8838135004043579, Physics Loss: 9.826560974121094, Total Loss: 1.8664696216583252, time: 4.90 seconds
Epoch 99, Data Loss: 0.8819407820701599, Physics Loss: 9.837786674499512, Total Loss: 1.8657194375991821, time: 5.07 seconds
Epoch 100, Data Loss: 0.8804333209991455, Physics Loss: 9.847312927246094, Total Loss: 1.8651646375656128, time: 4.89 seconds
Epoch 101, Data Loss: 0.8792448043823242, Physics Loss: 9.854205131530762, Total Loss: 1.8646652698516846, time: 4.87 seconds
Epoch 102, Data Loss: 0.8782978057861328, Physics Loss: 9.857903480529785, Total Loss: 1.8640881776809692, time: 4.83 seconds
Epoch 103, Data Loss: 0.8775336146354675, Physics Loss: 9.858266830444336, Total Loss: 1.8633602857589722, time: 4.92 seconds
Epoch 104, Data Loss: 0.8769339323043823, Physics Loss: 9.855555534362793, Total Loss: 1.8624894618988037, time: 4.85 seconds
Epoch 105, Data Loss: 0.8765081167221069, Physics Loss: 9.850375175476074, Total Loss: 1.8615455627441406, time: 4.90 seconds
Epoch 106, Data Loss: 0.8762708902359009, Physics Loss: 9.843574523925781, Total Loss: 1.860628366470337, time: 4.95 seconds
Epoch 107, Data Loss: 0.8761943578720093, Physics Loss: 9.836114883422852, Total Loss: 1.8598058223724365, time: 4.78 seconds
Epoch 108, Data Loss: 0.8762066960334778, Physics Loss: 9.828933715820312, Total Loss: 1.859100103378296, time: 4.77 seconds
Epoch 109, Data Loss: 0.8762048482894897, Physics Loss: 9.822850227355957, Total Loss: 1.8584898710250854, time: 5.49 seconds
Epoch 110, Data Loss: 0.8760598301887512, Physics Loss: 9.818506240844727, Total Loss: 1.857910394668579, time: 4.77 seconds
Epoch 111, Data Loss: 0.8756740093231201, Physics Loss: 9.816261291503906, Total Loss: 1.8573001623153687, time: 4.78 seconds
Epoch 112, Data Loss: 0.8750113844871521, Physics Loss: 9.816205978393555, Total Loss: 1.8566319942474365, time: 4.91 seconds
Epoch 113, Data Loss: 0.8740884065628052, Physics Loss: 9.818157196044922, Total Loss: 1.8559041023254395, time: 4.95 seconds
