Epoch 81, Data Loss: 0.00154677196405828, Physics Loss: 10.960758209228516, Total Loss: 1.0976226329803467, time: 0.44 seconds
Epoch 82, Data Loss: 0.0015420516720041633, Physics Loss: 10.960758209228516, Total Loss: 1.0976179838180542, time: 0.44 seconds
Epoch 83, Data Loss: 0.0015400053234770894, Physics Loss: 10.960758209228516, Total Loss: 1.0976159572601318, time: 0.44 seconds
Epoch 84, Data Loss: 0.0015361561672762036, Physics Loss: 10.960758209228516, Total Loss: 1.0976120233535767, time: 0.45 seconds
Epoch 85, Data Loss: 0.0015283701941370964, Physics Loss: 10.960758209228516, Total Loss: 1.0976042747497559, time: 0.44 seconds
Epoch 86, Data Loss: 0.0015181422932073474, Physics Loss: 10.960758209228516, Total Loss: 1.0975940227508545, time: 0.45 seconds
Epoch 87, Data Loss: 0.0015090322121977806, Physics Loss: 10.960758209228516, Total Loss: 1.0975849628448486, time: 0.44 seconds
Epoch 88, Data Loss: 0.0015043888706713915, Physics Loss: 10.960758209228516, Total Loss: 1.0975803136825562, time: 0.44 seconds
Epoch 89, Data Loss: 0.0015055524418130517, Physics Loss: 10.960758209228516, Total Loss: 1.097581386566162, time: 0.45 seconds
Epoch 90, Data Loss: 0.0015108761144801974, Physics Loss: 10.960758209228516, Total Loss: 1.097586750984192, time: 0.44 seconds
Epoch 91, Data Loss: 0.0015171057311818004, Physics Loss: 10.960758209228516, Total Loss: 1.0975929498672485, time: 0.60 seconds
Epoch 92, Data Loss: 0.0015210378915071487, Physics Loss: 10.960758209228516, Total Loss: 1.0975968837738037, time: 0.44 seconds
Epoch 93, Data Loss: 0.0015207347460091114, Physics Loss: 10.960758209228516, Total Loss: 1.0975966453552246, time: 0.61 seconds
Epoch 94, Data Loss: 0.0015160365728661418, Physics Loss: 10.960758209228516, Total Loss: 1.0975918769836426, time: 0.49 seconds
Epoch 95, Data Loss: 0.0015082736499607563, Physics Loss: 10.960758209228516, Total Loss: 1.0975841283798218, time: 0.44 seconds
Epoch 96, Data Loss: 0.0014993461081758142, Physics Loss: 10.960758209228516, Total Loss: 1.0975751876831055, time: 0.44 seconds
Epoch 97, Data Loss: 0.0014907593140378594, Physics Loss: 10.960758209228516, Total Loss: 1.0975666046142578, time: 0.44 seconds
Epoch 98, Data Loss: 0.0014830433065071702, Physics Loss: 10.960758209228516, Total Loss: 1.0975589752197266, time: 0.45 seconds
Epoch 99, Data Loss: 0.0014758423203602433, Physics Loss: 10.960758209228516, Total Loss: 1.097551703453064, time: 0.50 seconds
Epoch 100, Data Loss: 0.0014683613553643227, Physics Loss: 10.960758209228516, Total Loss: 1.0975443124771118, time: 0.57 seconds
Epoch 101, Data Loss: 0.001459980965591967, Physics Loss: 10.960758209228516, Total Loss: 1.0975358486175537, time: 0.44 seconds
Epoch 102, Data Loss: 0.0014506630832329392, Physics Loss: 10.960758209228516, Total Loss: 1.0975265502929688, time: 0.44 seconds
Epoch 103, Data Loss: 0.001440976862795651, Physics Loss: 10.960758209228516, Total Loss: 1.0975168943405151, time: 0.44 seconds
Epoch 104, Data Loss: 0.0014318103203549981, Physics Loss: 10.960758209228516, Total Loss: 1.0975077152252197, time: 0.44 seconds
Epoch 105, Data Loss: 0.0014239640440791845, Physics Loss: 10.960758209228516, Total Loss: 1.0974998474121094, time: 0.44 seconds
Epoch 106, Data Loss: 0.0014178185956552625, Physics Loss: 10.960758209228516, Total Loss: 1.0974937677383423, time: 0.49 seconds
Epoch 107, Data Loss: 0.0014132342766970396, Physics Loss: 10.960758209228516, Total Loss: 1.0974891185760498, time: 0.45 seconds
Epoch 108, Data Loss: 0.0014096956001594663, Physics Loss: 10.960758209228516, Total Loss: 1.0974855422973633, time: 0.81 seconds
Epoch 109, Data Loss: 0.0014065998839214444, Physics Loss: 10.960758209228516, Total Loss: 1.097482442855835, time: 0.45 seconds
Epoch 110, Data Loss: 0.0014035163912922144, Physics Loss: 10.960758209228516, Total Loss: 1.0974794626235962, time: 0.44 seconds
Epoch 111, Data Loss: 0.0014003344113007188, Physics Loss: 10.960758209228516, Total Loss: 1.0974762439727783, time: 0.45 seconds
Epoch 112, Data Loss: 0.0013972008600831032, Physics Loss: 10.960758209228516, Total Loss: 1.09747314453125, time: 0.44 seconds
Epoch 113, Data Loss: 0.001394378487020731, Physics Loss: 10.960758209228516, Total Loss: 1.0974702835083008, time: 0.44 seconds
Epoch 114, Data Loss: 0.0013920728815719485, Physics Loss: 10.960758209228516, Total Loss: 1.0974680185317993, time: 0.44 seconds
Epoch 115, Data Loss: 0.001390314195305109, Physics Loss: 10.960758209228516, Total Loss: 1.097466230392456, time: 0.44 seconds
Epoch 116, Data Loss: 0.0013889563269913197, Physics Loss: 10.960758209228516, Total Loss: 1.0974647998809814, time: 0.45 seconds
Epoch 117, Data Loss: 0.0013877598103135824, Physics Loss: 10.960758209228516, Total Loss: 1.097463607788086, time: 0.46 seconds
